Language,id,author_id,created_at,text,Country,Continent,Latitude,Longitude
English,1372260433818755078,556286058,2021-03-17T18:55:57.000Z,"Happy St.Patrick's Day! 🇮🇪\n\nAm I the first #Irish researcher to have worked with wildlife in the #Chernobyl Exclusion Zone? ☢️\n\nI don't know, but read how our science is helping to inform regional #conservation! 🐺🦌 https://t.co/mVleNSJUYt",Germany,Europe,48.91743,11.40798
English,1372259359686811652,974304895,2021-03-17T18:51:41.000Z,One of our favourite pastimes...watching dolphins 🐬 . We normally do this from our deck but Ocean Odyssey Knysna has up close dolphin sights https://t.co/QaFEuCYW2V #Knysna #dolphin #marine #ocean #wildlife #marinespecies #KnysnaHeads #ocean #sea,South Africa,Africa,-34.03916,23.04262
English,1372258669992292356,1214085844786503680,2021-03-17T18:48:56.000Z,Welcome to Nofa Wildlife Park\nOpen only for Private Tours (Saturday to Thursday)\n#nofawildlife #nofa #safari #wildlifephotography #nature #birdslovers #horseriding #targetshooting  #horseriding #instastyle #horseriding #desertsafari #wildlifephotography #naturephotography https://t.co/pDQQh7obVi,Saudi Arabia,Asia,24.36892,45.93692
English,1372258608730226688,1214085844786503680,2021-03-17T18:48:42.000Z,Welcome to Nofa Wildlife Park\nOpen only for Private Tours (Saturday to Thursday)\n#nofawildlife #nofa #safari #wildlifephotography #nature #birdslovers #horseriding #targetshooting  #horseriding #instastyle #horseriding #desertsafari #wildlifephotography #naturephotography https://t.co/3ei4yf3Jqw,Saudi Arabia,Asia,24.36892,45.93692
English,1372258524554739713,1214085844786503680,2021-03-17T18:48:22.000Z,Welcome to Nofa Wildlife Park\nOpen only for Private Tours (Saturday to Thursday)\n#nofawildlife #nofa #safari #wildlifephotography #nature #birdslovers #horseriding #targetshooting  #horseriding #instastyle #horseriding #desertsafari #wildlifephotography #naturephotography https://t.co/q5W1ZjJVvQ,Saudi Arabia,Asia,24.36892,45.93692
English,1372257567322238976,1127869824,2021-03-17T18:44:34.000Z,@RareBirdAlertUK @ZacGoldsmith Bloody sicking that this happens to our wildlife,England,Europe,53.47044,-2.09644
English,1372257359897243652,1369821443672989697,2021-03-17T18:43:44.000Z,"Added these to my birding and wildlife photography gear line up.  Absolutely love them, thanks @NikonUSA for such a nice product.  Love the size and weight not to mention sharp optics.  #twitterbirders #twitterbirds #wildlifephotography #kenvpphoto #birdphotography #binoculars https://t.co/4ikDVy890g",United States,North America,39.71405,-75.09037
English,1372255108621213696,15986434,2021-03-17T18:34:47.000Z,"it turns our lives upside down, removes established caretakers who make the time to document procedures &amp; wildlife &amp; plant life, and oh those who have worked to build community &amp; specifically advocate for better care of historic site. How about that.",United States,North America,44.14544,-120.58340
English,1372254186130259970,404348551,2021-03-17T18:31:07.000Z,New information board.  Looking very smart indeed👍@WildSouthEsk #WildSouthEsk #ferryden #angus #scurdienesslighthouse #harbour #wildlife #nature\n#5krundone✅ https://t.co/JM9qMmm7vh,Scotland,Europe,56.71901,-2.46954
English,1372253654909091844,19083261,2021-03-17T18:29:01.000Z,"Una pequeña avispa construyendo un panal. #macro #bugs #wildlife #nature #vivirenelmonte #sonyphotography #nikonlenses en Santo Domingo, Dominican Republic https://t.co/sfSn3keTP2",Dominican Republic,North America,18.47270,-69.89460
English,1372253439523229701,1361991758037590016,2021-03-17T18:28:09.000Z,#tiger #tigers #whitetiger #whitetigers #tigerstripes #sleeping #sleep #paws #feet #bigpaws #bigfeet #sleepingtiger #wildlifephotography #wildlife #photographer #photography #bushgardenstampa #bushgardens \n\nhttps://t.co/oWV22crGEn https://t.co/ehKz1ZIPzg,England,Europe,50.91707,0.48320
English,1372252988073459719,1361991758037590016,2021-03-17T18:26:22.000Z,#tiger #tigers #whitetiger #whitetigers #tigerstripes #wildlifephotography #wildlife #photographer #photography #bushgardenstampa #bushgardens \n\nhttps://t.co/JpP2zE4qkb https://t.co/vGvFak1JFo,England,Europe,50.91707,0.48320
English,1372251617429426178,470478353,2021-03-17T18:20:55.000Z,"Hare sculpture, from start to finish. I’m always drawn to the elegant shapes found in a hare and a crouching hare is a real gift. This #hare sculpture will be available to buy direct from my studio: https://t.co/Xry83M4Vfi #WildlifeWednesday #wildlife https://t.co/iPB3CsdVLJ",England,Europe,50.99751,-3.92712
English,1372251550391934980,2800529257,2021-03-17T18:20:39.000Z,"Busy day in the Ag room today...planting newly delivered plugs for Plantopia, fishing rods in Wildlife, and an Injections lab in Vet Studies. Forgot to take pictures of the first 2 classes! 🤦‍♀️ #BHSAgDept https://t.co/jdNH0jzR4v",United States,North America,46.44186,-93.36132
English,1372248483030310914,59059112,2021-03-17T18:08:28.000Z,A day at Kanha! @baghvillas #wildlife #tiger #saveourplanet #savethetigers #kanha #baghvillas @ Kanha Tiger Reserve https://t.co/mBeV3Zjugs,India,Asia,22.33333,80.63333
English,1372247110326878223,1361991758037590016,2021-03-17T18:03:00.000Z,#tiger #tigers #whitetiger #whitetigers #tigerstripes #wildlifephotography #wildlife #photographer #photography #bushgardenstampa #bushgardens\n\nhttps://t.co/q6yu7FGBqK https://t.co/Cm7VpdIZ8R,England,Europe,50.91707,0.48320
English,1372246991451881475,1361991758037590016,2021-03-17T18:02:32.000Z,#tiger #tigers #whitetiger #whitetigers #tigerstripes #sleeping #sleep #paws #feet #bigpaws #bigfeet #sleepingtiger #wildlifephotography #wildlife #photographer #photography #bushgardenstampa #bushgardens \n\nhttps://t.co/hwihPwjwKb https://t.co/b5KmZY5cTn,England,Europe,50.91707,0.48320
English,1372246706838978561,1361991758037590016,2021-03-17T18:01:24.000Z,#tiger #tigers #whitetiger #whitetigers #tigerstripes #wildlifephotography #wildlife #photographer #photography #bushgardenstampa #bushgardens \n\nhttps://t.co/ca253xxLIO https://t.co/DSIOva6P13,England,Europe,50.91707,0.48320
English,1372246586676363272,1361991758037590016,2021-03-17T18:00:56.000Z,#tiger #tigers #whitetiger #whitetigers #tigerstripes #wildlifephotography #wildlife #photographer #photography #bushgardenstampa #bushgardens \n\nhttps://t.co/s3RuUrNiKL https://t.co/CwukT1W5Br,England,Europe,50.91707,0.48320
English,1372246494628093952,66816673,2021-03-17T18:00:34.000Z,"Crew monitoring bulk carrier ship in Richmond. 600ft vessel reportedly began taking on water last night due to compromised hull. Assessment by divers underway. Fuel tanks not in area of water intrusion, per best avail info. No reports of discharge; no observed impacts to wildlife https://t.co/BSOSYZuELy",United States,North America,37.94884,-122.36241
English,1372246467939856388,1361991758037590016,2021-03-17T18:00:27.000Z,#tiger #tigers #whitetiger #whitetigers #tigerstripes #wildlifephotography #wildlife #photographer #photography #bushgardenstampa #bushgardens \n\nhttps://t.co/aB0GPr122E https://t.co/oGpKfV1avG,England,Europe,50.91707,0.48320
English,1372246100111941632,1361991758037590016,2021-03-17T17:59:00.000Z,#tiger #tigers #whitetiger #whitetigers #tigerstripes #wildlifephotography #wildlife #photographer #photography #bushgardenstampa #bushgardens \n\nhttps://t.co/aVDBqaAyjf https://t.co/fJGS8OMj09,England,Europe,50.91707,0.48320
English,1372245969065103361,1361991758037590016,2021-03-17T17:58:28.000Z,#tiger #tigers #whitetiger #whitetigers #tigerstripes #wildlifephotography #wildlife #photographer #photography #bushgardenstampa #bushgardens \n\nhttps://t.co/WBb7hzrUHd https://t.co/Zn7DLyXIu0,England,Europe,50.91707,0.48320
English,1372245376703594504,991332489015840768,2021-03-17T17:56:07.000Z,This seems an extraordinary development! Shooting next to a peace centre?? It’s not great for the wildlife there either! Crazy world. https://t.co/QUMmjo1ZYf,England,Europe,55.13142,-1.73962
English,1372245095987048450,762846423272480769,2021-03-17T17:55:00.000Z,The elephant gave us an amazing  video shot while crossing through  the woods in the wildlife area https://t.co/erUTM7jwsu was quite astonishing watching  the well maintained and preserved area in U.K.The govt is surely working hard for tourism development . \n@TIRATHSRAWAT https://t.co/UPAlJwrQWg,India,Asia,30.09709,78.28098
English,1372244389205008387,364937320,2021-03-17T17:52:12.000Z,Our little friend. \n\n#weasel #Bottcherland #Wildlife #citycenter  #ThePas #northernwoodsandwaterroute @ The Bottchers https://t.co/QNkfBB4I9a,Canada,North America,53.82489,-101.25586
English,1372244283273539593,301139349,2021-03-17T17:51:46.000Z,#Dinokeng #safari #animals #kudu #wildlife #gamereserve @ Dinokeng Nature Reserve https://t.co/pG9Z0QFRje,South Africa,Africa,-25.34702,28.37044
English,1372243842674622464,883757382412754944,2021-03-17T17:50:01.000Z,Love wildlife! This is Sidney he is our resident garden pest administrator. As business is so good for him he’s building an extension #wildlife #macro #canon #deanrhodesphotography @VisitGloucester @CanonUKandIE @CanonUSAimaging @Lightroom @DrBrianMay https://t.co/Q5ltxA3RSS,England,Europe,50.99751,-3.92712
English,1372243289626222593,53600666,2021-03-17T17:47:49.000Z,@anshulguptaias1 @wti_org_india A private one. Wildlife Trust of India.,India,Asia,24.71566,80.18832
English,1372240489487998979,1290290872819515393,2021-03-17T17:36:42.000Z,One of the most remarkable things you’ll read today— how “fake news” saved an endangered species #birding #birdwatching #wildlife #conservation https://t.co/kGu6k547lx,United States,North America,40.78071,-73.96854
English,1372240229340438531,1134572241537159170,2021-03-17T17:35:40.000Z,@cassie_leahy Is it a controlled burn or Wildlife?,United States,North America,28.90459,-81.22001
English,1372239716276441088,1369997233693790210,2021-03-17T17:33:37.000Z,Bonnie is watching you!\n#wildlife #WildlifeWednesday #wildlifephotography #elephantday #wildlifephotographer #elephantsoftwitter #TwitterOfTime #photooftheday #BBCWildlifePOTD #natgeoyourshot #africanphotos #animal #animalphotos #animals #portraitphotography #twitterwildlife https://t.co/knk8SxPL4w,South Africa,Africa,-34.18337,22.11205
English,1372235259404644357,188684975,2021-03-17T17:15:55.000Z,"| Noorie | The Bold, Beautiful, Majestic adult ""child"" of Noor walking across her territory, to spray urine onto trees, to alert and ward off other tigers trying to conquer her territory.\n\n#Noorie #Tiger #Ranthambore #Wilderness #Wildlife #KVKliks #incredibleindia #ketanvikamsey https://t.co/ijiNvWbaT5",India,Asia,25.97484,76.30793
English,1372234435890794496,59175559,2021-03-17T17:12:39.000Z,Endangered wildlife species smuggled from Amazon Rainforest seized in Golaghat in Upper #Assam https://t.co/b7uUiqIMY3,India,Asia,12.79738,77.69592
English,1372233987154972674,108354338,2021-03-17T17:10:52.000Z,Clandestine meeting between fox and raccoon captured on trail camera \nhttps://t.co/EjB4XwNjsF via @bangordailynews\n#excelsiorsprings #fox #foxandraccoon #missouri #nightroamers #nocturnalanimals #nocturnalwildlife #nocturnalsocialmedia #raccoon #trailcamera #wildlife,United States,North America,40.88523,-72.39183
English,1372233493846102026,577659338,2021-03-17T17:08:54.000Z,Longhorns and bison may be aggressive but they find photographers attractive... #ShotWithCanon EOS M50 and EF-M 55-200 @ San Angelo State Park - Texas Parks and Wildlife https://t.co/fxdJnuxPPQ,United States,North America,31.46783,-100.50385
English,1372232874393501698,1101270461986496512,2021-03-17T17:06:26.000Z,"Join the World Wildlife Fund team! Our latest job opening https://t.co/6Kkav6uGIR Itjobs Anchorage, AK",United States,North America,61.21867,-149.86709
English,1372229546985021447,20553229,2021-03-17T16:53:13.000Z,Familiarity doesn’t have to be boring. \n\n#cycling #bike #adventure #staugustine #pontevedra #guana #fl #florida #gravelcycling #outdoor #outside #neverbored @ Guana River Wildlife Management Area https://t.co/cH4yj3OJOw,United States,North America,30.03357,-81.33602
English,1372226592118743041,995972995872047104,2021-03-17T16:41:28.000Z,"https://t.co/VQtroSeCcf\nClick on the link to check out my Instagram pages, YT channel and blogs. \n#blogging #Instagram #YouTuber #follow #blogger #podcast #podcasting #Videos #NaturePhotography #wildlife #Streamer https://t.co/88VnkzmFEN",India,Asia,19.17414,72.87424
English,1372225372775940098,1705384856,2021-03-17T16:36:38.000Z,Save Australia's Native Forests and Wildlife Now.  Add your name to the Australian Native Forest Declaration. It's time to end native forest logging once and for all. https://t.co/KOzNtAQ6jB,Germany,Europe,48.31049,11.91084
English,1372223344834088961,1283260705748037632,2021-03-17T16:28:34.000Z,@BeeWeeFN @World_Wildlife @SonyAlpha @captureonepro @Sigma_Photo @COParksWildlife @WildlifeMag @moment Thank you so much!,United States,North America,39.71356,-104.92209
English,1372221638771609603,16285699,2021-03-17T16:21:47.000Z,Just posted a photo @ Radnor Lake Natural Area and Wildlife Refuge https://t.co/vg3a0Wh1rt,United States,North America,36.06295,-86.80982
English,1372217922614034440,29823737,2021-03-17T16:07:01.000Z,Everyone needs a Matty D in their life 😂❤️@DanielleTrotta Happy St Pattys Day Wednesday! ☘️ Driving around in the desert today for work saving wildlife (turtle lady) &lt;desert tortoise biologist &gt; listening to my fav show https://t.co/yJVu0Vr2o7,United States,North America,37.26918,-119.30661
English,1372214200601219074,1283260705748037632,2021-03-17T15:52:14.000Z,HEY EVERYONE! I will be donating 15% of all of my print earnings for the rest of this month and next month to @World_Wildlife !!!!!! Go getchu some Prints and print packs from my website and help me contribute to our planets wildlife! \nhttps://t.co/RE0UVuZBri https://t.co/k3W4E2PIfv,United States,North America,39.71356,-104.92209
English,1372213978764603396,23376934,2021-03-17T15:51:21.000Z,Just posted a photo @ Woolaroc Museum &amp; Wildlife Preserve https://t.co/aySosqZBTQ,United States,North America,36.66331,-96.11020
English,1372213098292129793,1206234546368393217,2021-03-17T15:47:51.000Z,Barn Owl   \n   ( Tyto Alba )\n\nFrom #Larkana \n#Sindh #Pakistan #NaturePhotography #wildlife #BirdsSeenIn2021 #OWL2021 @BirdWatchDaily @orientbirdclub @Team_eBird @Tweets_rw https://t.co/OsqSJ3QcXr,Pakistan,Asia,26.11636,68.88916
English,1372212502629642240,1168236417123831810,2021-03-17T15:45:29.000Z,"This call of a Red-Winged Black Bird is unforgettable, if you know, you know. \n\n@CanonUSAimaging EOS R6 and 800mm f/11 \n#nocrop \n\n#animalphotos \n#animalphotography \n#birdphotography \n#discovertheworld \n#exclusive_animals \n#explore_wildlife \n#featured_wildlife \n#naturephotography https://t.co/gdWp69VPac",United States,North America,33.63114,-80.92663
English,1372211779909079041,1065259647244935168,2021-03-17T15:42:37.000Z,"@KrisNoel65 Oh my gosh, they aren't like other wildlife, they do not share. They eat it ALL. All at once! I began coating the shepherd's hook at the base with Aquaphor ointment. They can't make it up! They try and try 🤭",United States,North America,34.72189,-92.34232
English,1372211497779277838,984055642477514752,2021-03-17T15:41:30.000Z,A view of waterways wildlife taken from the water 🦆🦢⚓️\n\n#hunkydorydays #hunkydory #signsofspring #spring #duck #swan #waterbirds #canalrivertrust #lifesbetterbywater #narrowboat #narrowboatholidays #Narrowboathire #narrowboatlife #boatlife #canalboat #canalboathire https://t.co/caNguxq5eg,England,Europe,51.37886,-2.34922
English,1372207681113624577,2341862337,2021-03-17T15:26:20.000Z,Read an interesting article by the amazing artist Mart  @AvelingArtworks  wildlife art really working for wildlife?@WildlifeMag #wildlifeartivism. Outstanding art-#artaunifyinglanguage educating and advocating a ‘truth’ for #wildlife . 👏👏👏👏\n\n https://t.co/ylkaQgciB3,England,Europe,51.45788,-2.58539
English,1372206386743017475,1037797383642341376,2021-03-17T15:21:11.000Z,Just posted a photo @ Fletcher Wildlife Garden https://t.co/VjJGWMkBXr,Ireland,Europe,45.33381,-75.76949
English,1372206288680128514,21851119,2021-03-17T15:20:48.000Z,"@Natures_Voice @ChrisGPackham I put food out for the birds daily, my son has autism and loves this daily routine (particularly in lockdown) however, more and more ferrel pigeons are flocking to my small garden. Is there a way to feed wildlife without an influx of one species?",Wales,Europe,53.31967,-3.82339
English,1372205736407801859,1129025057072787456,2021-03-17T15:18:36.000Z,European Robin / Erithacus Rubecula\n\n#birds #birdnerd #birdlovers #birdwatching #birding #BirdTwitter #BirdGang #birdphotography #wildlife #wildlifephotography #nature #naturelovers #NaturePhotography #TwitterNatureCommunity #canonphotography #photography #photographylovers https://t.co/78YzX2iJRx,England,Europe,52.11684,0.05920
English,1372203778422767621,1263896220,2021-03-17T15:10:49.000Z,Author: @Hein1985\n\n#wildlife #climatechange #nature #conservation #ClimateAction @TVGlobetrotter #StopExtinction,South Africa,Africa,-26.27614,27.96810
English,1372203437937487878,893337635338330112,2021-03-17T15:09:28.000Z,The #bird is the #word \n.\n.\n.\n\n.\n#birds #birdphotography #bird #nature #birdsofinstagram #wildlife #naturephotography #wildlifephotography #birdwatching #best #photography #birding #birdlovers #Twitter #captures #perfection #naturelovers #sunset #birds #brilliance #samsung https://t.co/fGFO0yUIyP,India,Asia,14.35870,79.98698
English,1372201607098679301,1141409286997905409,2021-03-17T15:02:12.000Z,"Test And Enrich Your Knowledge Of Wildlife And Nature With This Week Edition Of NaturePeak Wildlife Quiz by clicking on the link below \n\nhttps://t.co/9vgJPYDGFL\n\nNaturePeak, bringing animals closer to us for the sake of conservation.\n\n#wildlife \n#nature",Germany,Europe,7.42907,3.90530
English,1372200362564812801,985497017022631938,2021-03-17T14:57:15.000Z,How do you survive?\n@AMAZlNGSNATURE @natgeowild @NatGeoPhotos @NatGeoTravel #wildlifephotography #wildlife https://t.co/f8USsSUpmU,Uganda,Africa,0.28927,32.56916
English,1372200242465140738,18411880,2021-03-17T14:56:46.000Z,Excuse me? Have you seen an #antler? 😎🦌and a #caribou conga line in #Alaska outside of #Fairbanks. #wildlife #wildlifephotography #isolated #mountains #snow #winter #herd #antlers #alaskaphotography #Alaska #nature #beautiful #photography #thephotohour #natgeo #natgeophotos https://t.co/2jLHkL0jsT,United States,North America,61.30473,0.31430
English,1372199838700376068,1198921566244888578,2021-03-17T14:55:10.000Z,"@iucngys Hello, I am Prasun Kumar Das (Studying pharmcy) from Assam India. I am always interested in the field ecology and always wondered a safe zone for wildlife animals. @IUCN",India,Asia,26.25967,91.55976
English,1372197670979272707,18411880,2021-03-17T14:46:33.000Z,Hit the road Jack! 😎🦅#Iowa #wildlife #baldeagle #fight #launch #raptor #talon #wildlifephotography #naturephotography #eagle #nature #beautiful #photography #thephotohour #birdphotography #natgeo #500pxrtg #natgeophotos #nikonusa #natgeowild @todaysbaldeagle #banleadshot https://t.co/wYxUKN80Bq,United States,North America,41.93823,-93.38986
English,1372194263405096963,19742537,2021-03-17T14:33:01.000Z,Please stop this work @networkrail. Whether it’s essential or not now is not the time of year to do it. Our wildlife is under threat as it is without ill thought through work that damages their homes and habitats. https://t.co/QGYWx9Qgz9,England,Europe,51.24106,-0.18067
English,1372192637961261058,1023850647463051265,2021-03-17T14:26:33.000Z,A very enjoyable and relaxing 20 minutes of Kenyan wildlife. One day 🥺🐘🦒🦏 #nature @BBCEarth \nhttps://t.co/8GXoacxcwi,Scotland,Europe,55.85830,-4.24175
English,1372192635302023178,1147303074,2021-03-17T14:26:33.000Z,Sing! #sparrow #ohio #nature #birds @ Beach City Wildlife Area https://t.co/6hitnGTEA2,United States,North America,40.62967,-81.56816
English,1372191357473787908,1147303074,2021-03-17T14:21:28.000Z,Fishy breakfast 🐟 #ohio #nature #birds #blueheron @ Beach City Wildlife Area https://t.co/ZESu0c5Xl5,United States,North America,40.62967,-81.56816
English,1372190790588465155,2905444470,2021-03-17T14:19:13.000Z,"Bacon, eggs and biscuits from the dutch oven. A great start to the day! #LifeIsBetterOutside #TexasOutdoors #TexasStateParks @ Huntsville State Park - Texas Parks and Wildlife https://t.co/rTHRfdqnNH",United States,North America,30.62844,-95.52597
English,1372190784871620610,1147303074,2021-03-17T14:19:11.000Z,Pulled over n got a few shots of a #hoodedmerganser in the marsh #ohio #nature #birds @ Beach City Wildlife Area https://t.co/5qgMwst4Li,United States,North America,40.62967,-81.56816
English,1372189999987261451,23206235,2021-03-17T14:16:04.000Z,"Staring me out... #swan #stanleypark #lancashire #wildlife #birds #britishbirds @ Stanley Park, Blackpool https://t.co/9DeV7cu3aA",England,Europe,53.81470,-3.02921
English,1372189677382479872,1439508630,2021-03-17T14:14:47.000Z,Best of Long Island Wildlife Photography 3-14-2021 - https://t.co/J099nsENC5,United States,North America,40.83052,-73.11522
English,1372189588735852553,1147303074,2021-03-17T14:14:26.000Z,Too foggy. #muskrats everywhere and this #woodduck screaming at me from 50’ up #ohio #nature #backwaters @ Beach City Wildlife Area https://t.co/Ly2gHLImyI,United States,North America,40.62967,-81.56816
English,1372188726181380100,824637752574488576,2021-03-17T14:11:01.000Z,"""Wildlife Choobs"" in #Luton #UnitedKingdom https://t.co/ptTky9Joub #foodwaste #free",England,Europe,51.87820,-0.44657
English,1372187730608746497,570841463,2021-03-17T14:07:03.000Z,Jurassic Coast: Wildlife trust stops operating attraction https://t.co/1hLJx51ygS,England,Europe,50.58070,-3.46457
English,1372186488197185540,1123979971,2021-03-17T14:02:07.000Z,White Horse\n#nikonnofilter #wildhorses #oklahoma #nature #NativeAmerican #wildlife #photography #explore #adventure #Horses #Horsepower https://t.co/vK7BbPzXHu,United States,North America,35.52261,-97.97590
English,1372186170101264385,104492766,2021-03-17T14:00:51.000Z,Cheetahs are my all time favourite predator to capture with my Nikon. This beautiful female was just outside our Osunyai Lamarkau Camp in Tarangire. #lovelife #love #cheetah @garyjstrand @wildlife_explorer https://t.co/G5I2tkMv14,Tanzania,Africa,-6.75157,39.28598
English,1372184388826447875,4786971816,2021-03-17T13:53:46.000Z,Help the monarchs and other pollinators! \n\nMonarch groups: \n&lt;&gt; Monarch Joint Venture https://t.co/AKdcyQWa1z \n&lt;&gt; Monarch Watch https://t.co/Q6SJydWnl2\n\nMonarch info: \n&lt;&gt; US Fish &amp; Wildlife Service https://t.co/FrEGwg64ah\n&lt;&gt; National Geographic https://t.co/VyUuBBu2w9 https://t.co/ujQegXKGc5,United States,North America,31.16889,-100.07689
English,1372182945109188608,92479837,2021-03-17T13:48:02.000Z,"15 Days and 2500 Km road trip from Ktm to Kanyam, Itahari to Chapur, Pokhara to Palpa, Lumbini-Kapilvastu to chitwan, poor village to rich city, wildlife to mosquito's torture, natural beauty to artificial, luxurious hotel to poor hospital and rich politician to poor Nepalese !!",Nepal,Asia,28.39085,84.13302
English,1372182474390929412,263490180,2021-03-17T13:46:10.000Z,"Well, that happened quickly! Tickets to the 🌏 premiere of The Conservation Game at the @SBIFF have SOLD OUT! Thank you so much for all of your support! #wildlife #tiger #tigers #bigcats #movienight #conservation #Documentary https://t.co/W3w1DgqE8D",United States,North America,29.98260,-90.01101
English,1372181162609762310,1323108864443764737,2021-03-17T13:40:57.000Z,@itsNAMESAKE @Wildlife_Willy Appreciate that,United States,North America,32.67821,-83.17387
